Ajit Wadekar
S. Venkataraghavan
Bishan Singh Bedi
Sunil Gavaskar
Gundappa Viswanath
Kapil Dev
Syed Kirmani
Mohinder Amarnath
Ravi Shastri
Dilip Vengsarkar
Syed Kirmani
Krishnamachari Srikkanth
Mohammad Azharuddin
Sachin Tendulkar
Ajay Jadeja
Sourav Ganguly
Rahul Dravid
Ajay Jadeja
Ajay Jadeja
Ajay Jadeja
Anil Kumble
Virender Sehwag
M.S. Dhoni
Suresh Raina
Gautam Gambhir
Virat Kohli
Virat Kohli
Ajinkya Rahane
Rohit Sharma
Shikhar Dhawan
